"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
" ","30 Years",31770,32550
" ","31 Years",31020,32360
" ","32 Years",30410,32070
" ","33 Years",30300,31490
" ","34 Years",30150,31530
" ","35 Years",29220,30320
" ","36 Years",28950,30400
" ","37 Years",28560,29990
" ","38 Years",27680,29600
" ","39 Years",27560,29320
" ","40 Years",28110,29380
" ","41 Years",28310,30160
" ","42 Years",29550,31450
" ","43 Years",30240,32630
" ","44 Years",31920,33920
" ","45 Years",32390,34700
" ","46 Years",31930,34370
" ","47 Years",31720,33770
" ","48 Years",31580,33610
" ","49 Years",30790,32610
" ","50 Years",30560,31970
" ","51 Years",30710,32150
" ","52 Years",31270,33120
" ","53 Years",31910,33820
" ","54 Years",32000,33850
" ","55 Years",31150,33120
" ","56 Years",30410,32340
" ","57 Years",29230,30860
" ","58 Years",28580,30070
" ","59 Years",27500,29270
" ","60 Years",27250,28300
" ","61 Years",25930,27630
" ","62 Years",25440,26710
" ","63 Years",24190,25810
" ","64 Years",24080,25380
" ","65 Years",23580,24070
" ","66 Years",22900,24460
" ","67 Years",22870,23360
" ","68 Years",22390,23360
" ","69 Years",22190,23330
" ","70 Years",20400,21290
" ","71 Years",17760,19120
" ","72 Years",16400,17460
" ","73 Years",14820,15780
" ","74 Years",14590,15980
" ","75 Years",14620,16120
" ","76 Years",13690,15300
" ","77 Years",12070,13730
" ","78 Years",10780,12540
" ","79 Years",9850,11730
" ","80 Years",9000,10790
" ","81 Years",8020,9550
" ","82 Years",7630,9290
" ","83 Years",6610,8640
" ","84 Years",6160,8050
" ","85 Years",5720,7720
" ","86 Years",5140,7260
" ","87 Years",4380,6430
" ","88 Years",3600,5690
" ","89 Years",3090,4890
" ","90 Years",2420,4340
" ","91 Years",1950,3680
" ","92 Years",1450,3040
" ","93 Years",1110,2390
" ","94 Years",760,1960
" ","0-4 Years",157040,148910
" ","5-9 Years",167140,157710
" ","10-14 Years",153750,146060
" ","15-19 Years",162660,154050
" ","20-24 Years",180010,163950
" ","25-29 Years",176780,173150
" ","30-34 Years",153640,160000
" ","35-39 Years",141970,149630
" ","40-44 Years",148130,157530
" ","45-49 Years",158390,169050
" ","50-54 Years",156450,164920
" ","55-59 Years",146860,155670
" ","60-64 Years",126890,133840
" ","65-69 Years",113930,118580
" ","70-74 Years",83980,89640
" ","75-79 Years",61010,69430
" ","80-84 Years",37420,46330
" ","85-89 Years",21940,31990
" ","Under 15 Years",477900,452700
" ","Under 16 Years",509300,482900
" ","Under 18 Years",574800,544900
" ","Under 20 Years",640600,606700
" ","15-39 Years",815100,800800
" ","15-49 Years",1121600,1127400
" ","15-59 Years",1424900,1447900
" ","40-64 Years",736700,781000
" ","15-64 Years",1551800,1581800
" ","15 Years and Over",1879400,1957600
" ","16 Years and Over",1848000,1927400
" ","18 Years and Over",1782500,1865400
" ","20 Years and Over",1716700,1803600
" ","90-94 Years",7680,15400
" ","60 Years and Over",454500,509700
" ","65 Years and Over",327600,375900
" ","75 Years and Over",129700,167600
" ","80 Years and Over",68700,98200
" ","85 Years and Over",31200,51900
" ","90 Years and Over",9290,19890
" ","95 Years and Over",1610,4480
" ","Median Age (Years)",35.9,38.4
" ","Total All Ages",2357300,2410300
"2017Q1","0 Years",30820,29210
" ","1 Years",30800,29190
" ","2 Years",31470,29290
" ","3 Years",31100,29620
" ","4 Years",32820,31380
" ","5 Years",32870,31180
" ","6 Years",33700,31890
" ","7 Years",33700,31990
" ","8 Years",33930,31380
" ","9 Years",33480,31990
" ","10 Years",32160,30440
" ","11 Years",30770,29480
" ","12 Years",30820,29100
" ","13 Years",30670,29360
" ","14 Years",30820,28910
" ","15 Years",31220,29970
" ","16 Years",33100,31390
" ","17 Years",32890,31400
" ","18 Years",32430,30430
" ","19 Years",33670,31630
" ","20 Years",34480,31640
" ","21 Years",35710,32410
" ","22 Years",35930,32760
" ","23 Years",36400,33020
" ","24 Years",37470,34390
" ","25 Years",38090,35110
" ","26 Years",37650,36350
" ","27 Years",36130,35140
" ","28 Years",34550,34580
" ","29 Years",33970,34790
" ","30 Years",32360,32850
" ","31 Years",31440,32600
" ","32 Years",30800,32500
" ","33 Years",30640,31740
" ","34 Years",30640,31760
" ","35 Years",29650,30770
" ","36 Years",29420,30530
" ","37 Years",28970,30310
" ","38 Years",27990,29850
" ","39 Years",27790,29480
" ","40 Years",28210,29640
" ","41 Years",28200,29780
" ","42 Years",29570,31420
" ","43 Years",30170,32510
" ","44 Years",31700,33680
" ","45 Years",32480,34600
" ","46 Years",32170,34610
" ","47 Years",31890,33870
" ","48 Years",31890,33750
" ","49 Years",31030,32790
" ","50 Years",30530,32260
" ","51 Years",30890,32100
" ","52 Years",31010,32710
" ","53 Years",31820,33540
" ","54 Years",32040,34250
" ","55 Years",31560,33320
" ","56 Years",30510,32450
" ","57 Years",29630,31170
" ","58 Years",28760,30360
" ","59 Years",27830,29550
" ","60 Years",27090,28440
" ","61 Years",26260,27710
" ","62 Years",25520,27010
" ","63 Years",24550,25960
" ","64 Years",24150,25530
" ","65 Years",23600,24450
" ","66 Years",23010,24120
" ","67 Years",22840,23590
" ","68 Years",22350,23230
" ","69 Years",22120,23240
" ","70 Years",21260,22410
" ","71 Years",18150,19190
" ","72 Years",16460,17690
" ","73 Years",15410,16350
" ","74 Years",14110,15380
" ","75 Years",14720,16340
" ","76 Years",13980,15550
" ","77 Years",12220,13760
" ","78 Years",10890,12950
" ","79 Years",10030,11720
" ","80 Years",9000,10820
" ","81 Years",8130,9770
" ","82 Years",7650,9290
" ","83 Years",6730,8620
" ","84 Years",6080,8130
" ","85 Years",5670,7560
" ","86 Years",5260,7290
" ","87 Years",4410,6550
" ","88 Years",3670,5710
" ","89 Years",3080,4920
" ","90 Years",2520,4330
" ","91 Years",1940,3710
" ","92 Years",1480,3130
" ","93 Years",1120,2420
" ","94 Years",780,1960
" ","0-4 Years",157010,148700
" ","5-9 Years",167690,158420
" ","10-14 Years",155230,147280
" ","15-19 Years",163300,154820
" ","20-24 Years",179980,164220
" ","25-29 Years",180380,175970
" ","30-34 Years",155870,161460
" ","35-39 Years",143820,150940
" ","40-44 Years",147840,157030
" ","45-49 Years",159460,169630
" ","50-54 Years",156290,164870
" ","55-59 Years",148280,156870
" ","60-64 Years",127560,134650
" ","65-69 Years",113920,118630
" ","70-74 Years",85390,91010
" ","75-79 Years",61850,70320
" ","80-84 Years",37580,46640
" ","85-89 Years",22090,32020
" ","Under 15 Years",479900,454400
" ","Under 16 Years",511200,484400
" ","Under 18 Years",577100,547200
" ","Under 20 Years",643200,609200
" ","15-39 Years",823400,807400
" ","15-49 Years",1130700,1134100
" ","15-59 Years",1435200,1455800
" ","40-64 Years",739400,783000
" ","15-64 Years",1562800,1590500
" ","15 Years and Over",1893100,1969300
" ","16 Years and Over",1861900,1939300
" ","18 Years and Over",1795900,1876500
" ","20 Years and Over",1729800,1814400
" ","90-94 Years",7840,15560
" ","60 Years and Over",457900,513500
" ","65 Years and Over",330300,378800
" ","75 Years and Over",131000,169200
" ","80 Years and Over",69200,98800
" ","85 Years and Over",31600,52200
" ","90 Years and Over",9500,20190
" ","95 Years and Over",1660,4630
" ","Median Age (Years)",35.9,38.3
" ","Total All Ages",2373100,2423700
"2017Q2","0 Years",30690,29450
" ","1 Years",30930,29040
" ","2 Years",31290,29470
" ","3 Years",31570,29610
" ","4 Years",32480,30980
" ","5 Years",32950,31390
" ","6 Years",33450,31750
" ","7 Years",33970,32270
" ","8 Years",33860,31380
" ","9 Years",33630,31900
" ","10 Years",32680,30950
" ","11 Years",31150,29750
" ","12 Years",30710,29200
" ","13 Years",30750,29400
" ","14 Years",31080,29100
" ","15 Years",31110,29850
" ","16 Years",32690,31110
" ","17 Years",33240,31460
" ","18 Years",32440,30710
" ","19 Years",33610,31390
" ","20 Years",34280,31820
" ","21 Years",35580,32190
" ","22 Years",35840,32700
" ","23 Years",36110,32990
" ","24 Years",37470,34130
" ","25 Years",37940,35010
" ","26 Years",37790,36180
" ","27 Years",36760,35750
" ","28 Years",34940,34890
" ","29 Years",34150,34950
" ","30 Years",33140,33300
" ","31 Years",31930,32830
" ","32 Years",31030,32790
" ","33 Years",31100,32230
" ","34 Years",30720,31720
" ","35 Years",30040,31280
" ","36 Years",29670,30510
" ","37 Years",29140,30380
" ","38 Years",28640,30270
" ","39 Years",27870,29420
" ","40 Years",28340,29740
" ","41 Years",28400,29630
" ","42 Years",29160,31110
" ","43 Years",30240,32390
" ","44 Years",31430,33220
" ","45 Years",32500,34620
" ","46 Years",32560,35030
" ","47 Years",31920,33690
" ","48 Years",31900,33730
" ","49 Years",31360,33180
" ","50 Years",30640,32560
" ","51 Years",30660,31980
" ","52 Years",30960,32430
" ","53 Years",31740,33370
" ","54 Years",31980,34060
" ","55 Years",31770,33570
" ","56 Years",30730,32860
" ","57 Years",29850,31310
" ","58 Years",29280,30810
" ","59 Years",27800,29560
" ","60 Years",27210,28670
" ","61 Years",26510,27870
" ","62 Years",25610,27180
" ","63 Years",24890,26370
" ","64 Years",24050,25400
" ","65 Years",23710,24720
" ","66 Years",23100,23950
" ","67 Years",22790,23910
" ","68 Years",22410,23070
" ","69 Years",22100,23270
" ","70 Years",21800,22870
" ","71 Years",18220,19290
" ","72 Years",16840,18070
" ","73 Years",15900,16840
" ","74 Years",13760,14900
" ","75 Years",14800,16380
" ","76 Years",14050,15680
" ","77 Years",12630,14290
" ","78 Years",10970,12840
" ","79 Years",10060,11830
" ","80 Years",9160,10940
" ","81 Years",8180,9970
" ","82 Years",7560,9180
" ","83 Years",6860,8680
" ","84 Years",6040,8140
" ","85 Years",5620,7530
" ","86 Years",5290,7200
" ","87 Years",4350,6550
" ","88 Years",3770,5750
" ","89 Years",3100,4950
" ","90 Years",2540,4340
" ","91 Years",1920,3660
" ","92 Years",1550,3170
" ","93 Years",1100,2500
" ","94 Years",820,1940
" ","0-4 Years",156970,148550
" ","5-9 Years",167860,158690
" ","10-14 Years",156370,148390
" ","15-19 Years",163100,154520
" ","20-24 Years",179280,163830
" ","25-29 Years",181590,176780
" ","30-34 Years",157920,162870
" ","35-39 Years",145350,151860
" ","40-44 Years",147580,156100
" ","45-49 Years",160250,170240
" ","50-54 Years",155980,164400
" ","55-59 Years",149420,158100
" ","60-64 Years",128280,135480
" ","65-69 Years",114110,118920
" ","70-74 Years",86520,91980
" ","75-79 Years",62530,71010
" ","80-84 Years",37800,46910
" ","85-89 Years",22130,31970
" ","Under 15 Years",481200,455600
" ","Under 16 Years",512300,485500
" ","Under 18 Years",578200,548100
" ","Under 20 Years",644300,610200
" ","15-39 Years",827200,809900
" ","15-49 Years",1135100,1136200
" ","15-59 Years",1440500,1458700
" ","40-64 Years",741500,784300
" ","15-64 Years",1568800,1594200
" ","15 Years and Over",1901500,1975300
" ","16 Years and Over",1870300,1945400
" ","18 Years and Over",1804400,1882900
" ","20 Years and Over",1738400,1820800
" ","90-94 Years",7940,15610
" ","60 Years and Over",461000,516600
" ","65 Years and Over",332700,381100
" ","75 Years and Over",132100,170200
" ","80 Years and Over",69600,99200
" ","85 Years and Over",31800,52300
" ","90 Years and Over",9630,20320
" ","95 Years and Over",1690,4710
" ","Median Age (Years)",35.9,38.3
" ","Total All Ages",2382700,2430900
"2017Q3","0 Years",30680,29060
" ","1 Years",31120,29450
" ","2 Years",31210,29680
" ","3 Years",31590,29600
" ","4 Years",32260,30710
" ","5 Years",33070,31500
" ","6 Years",33440,31660
" ","7 Years",34000,32340
" ","8 Years",33870,31610
" ","9 Years",33750,31990
" ","10 Years",33240,31470
" ","11 Years",31530,29960
" ","12 Years",30760,29450
" ","13 Years",31050,29470
" ","14 Years",31020,29190
" ","15 Years",31280,29610
" ","16 Years",32280,31150
" ","17 Years",33710,31440
" ","18 Years",32510,31050
" ","19 Years",33330,31290
" ","20 Years",34270,31900
" ","21 Years",35210,32000
" ","22 Years",35990,32730
" ","23 Years",35990,33070
" ","24 Years",37140,34080
" ","25 Years",38340,35100
" ","26 Years",37850,36330
" ","27 Years",37520,36410
" ","28 Years",35550,35280
" ","29 Years",34720,35380
" ","30 Years",33950,34110
" ","31 Years",32330,33340
" ","32 Years",31820,33090
" ","33 Years",31140,32510
" ","34 Years",30950,32090
" ","35 Years",30570,31570
" ","36 Years",30050,30930
" ","37 Years",29630,30660
" ","38 Years",29010,30310
" ","39 Years",28210,29710
" ","40 Years",28340,29890
" ","41 Years",28540,29570
" ","42 Years",28970,31010
" ","43 Years",30210,31900
" ","44 Years",30960,33090
" ","45 Years",32600,34390
" ","46 Years",32850,35020
" ","47 Years",32000,34020
" ","48 Years",32070,33960
" ","49 Years",31600,33260
" ","50 Years",30920,32640
" ","51 Years",30680,32020
" ","52 Years",30810,32400
" ","53 Years",31630,33020
" ","54 Years",32050,34140
" ","55 Years",31860,33630
" ","56 Years",31040,33180
" ","57 Years",30070,31620
" ","58 Years",29330,30910
" ","59 Years",28130,29760
" ","60 Years",27450,29010
" ","61 Years",26770,28000
" ","62 Years",25730,27510
" ","63 Years",25190,26420
" ","64 Years",24070,25620
" ","65 Years",23890,24940
" ","66 Years",23230,23980
" ","67 Years",22620,23990
" ","68 Years",22610,23140
" ","69 Years",21960,23080
" ","70 Years",22050,23150
" ","71 Years",18860,19880
" ","72 Years",17210,18510
" ","73 Years",15860,16880
" ","74 Years",14000,15110
" ","75 Years",14600,16030
" ","76 Years",14070,15720
" ","77 Years",12950,14650
" ","78 Years",11270,12980
" ","79 Years",10220,12100
" ","80 Years",9140,11010
" ","81 Years",8310,10120
" ","82 Years",7550,9070
" ","83 Years",6950,8640
" ","84 Years",5990,8240
" ","85 Years",5550,7480
" ","86 Years",5200,7090
" ","87 Years",4440,6620
" ","88 Years",3800,5710
" ","89 Years",3070,4910
" ","90 Years",2540,4340
" ","91 Years",1960,3650
" ","92 Years",1520,3050
" ","93 Years",1120,2520
" ","94 Years",830,1910
" ","0-4 Years",156860,148500
" ","5-9 Years",168140,159100
" ","10-14 Years",157590,149540
" ","15-19 Years",163110,154540
" ","20-24 Years",178590,163780
" ","25-29 Years",183980,178500
" ","30-34 Years",160200,165140
" ","35-39 Years",147460,153180
" ","40-44 Years",147020,155460
" ","45-49 Years",161110,170650
" ","50-54 Years",156100,164230
" ","55-59 Years",150430,159100
" ","60-64 Years",129200,136560
" ","65-69 Years",114320,119120
" ","70-74 Years",87980,93530
" ","75-79 Years",63090,71470
" ","80-84 Years",37950,47080
" ","85-89 Years",22050,31800
" ","Under 15 Years",482600,457100
" ","Under 16 Years",513900,486800
" ","Under 18 Years",579900,549300
" ","Under 20 Years",645700,611700
" ","15-39 Years",833300,815100
" ","15-49 Years",1141500,1141300
" ","15-59 Years",1448000,1464600
" ","40-64 Years",743900,786000
" ","15-64 Years",1577200,1601100
" ","15 Years and Over",1912200,1984300
" ","16 Years and Over",1880900,1954700
" ","18 Years and Over",1814900,1892100
" ","20 Years and Over",1749100,1829800
" ","90-94 Years",7970,15470
" ","60 Years and Over",464200,519800
" ","65 Years and Over",335000,383200
" ","75 Years and Over",132700,170600
" ","80 Years and Over",69600,99100
" ","85 Years and Over",31700,52000
" ","90 Years and Over",9610,20210
" ","95 Years and Over",1650,4740
" ","Median Age (Years)",35.9,38.3
" ","Total All Ages",2394800,2441500
"2017Q4","0 Years",30690,29220
" ","1 Years",31150,29520
" ","2 Years",31230,29600
" ","3 Years",31800,29740
" ","4 Years",31880,30330
" ","5 Years",33480,32050
" ","6 Years",33300,31420
" ","7 Years",34020,32260
" ","8 Years",33930,31800
" ","9 Years",34010,31970
" ","10 Years",33570,31850
" ","11 Years",31830,30390
" ","12 Years",31040,29520
" ","13 Years",31030,29420
" ","14 Years",31020,29310
" ","15 Years",31090,29380
" ","16 Years",32110,30840
" ","17 Years",33710,31610
" ","18 Years",32490,31130
" ","19 Years",32890,30830
" ","20 Years",34120,31820
" ","21 Years",35060,32130
" ","22 Years",35910,32400
" ","23 Years",35820,33160
" ","24 Years",37010,33880
" ","25 Years",38250,35330
" ","26 Years",38240,36170
" ","27 Years",38160,36930
" ","28 Years",36480,36110
" ","29 Years",35230,35680
" ","30 Years",34420,35030
" ","31 Years",33090,33660
" ","32 Years",32160,33330
" ","33 Years",31510,32880
" ","34 Years",31380,32330
" ","35 Years",31160,32240
" ","36 Years",30240,30930
" ","37 Years",29980,31010
" ","38 Years",29480,30520
" ","39 Years",28500,30140
" ","40 Years",28280,29790
" ","41 Years",28760,29740
" ","42 Years",28930,30470
" ","43 Years",30170,31730
" ","44 Years",30800,32880
" ","45 Years",32560,34210
" ","46 Years",32880,34830
" ","47 Years",32360,34480
" ","48 Years",32090,33920
" ","49 Years",31970,33730
" ","50 Years",31160,32650
" ","51 Years",30780,32040
" ","52 Years",30900,32250
" ","53 Years",31450,33200
" ","54 Years",32020,33880
" ","55 Years",32160,33920
" ","56 Years",31160,33160
" ","57 Years",30470,32300
" ","58 Years",29310,30850
" ","59 Years",28510,30080
" ","60 Years",27550,29330
" ","61 Years",27100,28180
" ","62 Years",25880,27570
